code,name
0051,CUSCAPI BERHAD
9423,CWG HOLDINGS BERHAD
2925,CYCLE & CARRIAGE BINTANG BERHAD
7157,CYL CORPORATION BERHAD
5082,CYMAO HOLDINGS BERHAD
5184,CYPARK RESOURCES BERHAD
7204,D&O GREEN TECHNOLOGIES BERHAD
7179,D.B.E. GURNEY RESOURCES BERHAD
4456,DAGANG NEXCHANGE BERHAD
8125,DAIBOCHI BERHAD
5355,DAIMAN DEVELOPMENT BHD
3484,DAMANSARA REALTY BHD
5276,DANCOMECH HOLDINGS BERHAD
8338,DATAPREP HOLDINGS BHD
5216,DATASONIC GROUP BERHAD
0091,DAYA MATERIALS BERHAD
5141,DAYANG ENTERPRISE HOLDINGS BERHAD
7119,DEGEM BERHAD
5132,DELEUM BERHAD
7212,DESTINI BERHAD
7277,DIALOG GROUP BERHAD
6947,DIGI.COM BERHAD
0029,DIGISTAR CORPORATION BERHAD
7528,DKLS INDUSTRIES BHD
5908,DKSH HOLDINGS (MALAYSIA) BERHAD
7114,D'NONCE TECHNOLOGY BHD
5835,DOLOMITE CORPORATION BERHAD
5265,DOLPHIN INTERNATIONAL BERHAD
7169,DOMINANT ENTERPRISE BERHAD
7198,DPS RESOURCES BERHAD
1619,DRB-HICOM BERHAD
7233,DUFU TECHNOLOGY CORP. BERHAD
7148,CCM DUOPHARMA BIOTECH BERHAD
3948,DUTALAND BERHAD
3026,DUTCH LADY MILK INDUSTRIES BERHAD
5178,DYNACIATE GROUP BERHAD
5259,E.A.TECHNIQUE (M) BERHAD
3417,EASTERN & ORIENTAL BERHAD
2097,EASTLAND EQUITY BHD
2143,ECM LIBRA FINANCIAL GROUP BERHAD
8206,ECO WORLD DEVELOPMENT GROUP BERHAD
5283,ECO WORLD INTERNATIONAL BERHAD
0059,ECOBUILT HOLDINGS BERHAD
3557,ECOFIRST CONSOLIDATED BHD
5253,ECONPILE HOLDINGS BERHAD
5036,EDARAN BERHAD
7471,EDEN INC. BERHAD
0064,EFFICIENT E-SOLUTIONS BERHAD
8907,EG INDUSTRIES BERHAD
5208,EITA RESOURCES BERHAD
7182,EKA NOODLES BERHAD
8877,EKOVEST BERHAD
9016,EKSONS CORPORATION BERHAD
5228,ELK-DESA RESOURCES BERHAD
0090,ELSOFT RESEARCH BERHAD
9091,EMICO HOLDINGS BERHAD
6076,ENCORP BERHAD
7149,ENG KAH CORPORATION BERHAD
5056,ENGTEX GROUP BERHAD
8613,ENRA GROUP BERHAD
7217,EONMETALL GROUP BERHAD
7773,EP MANUFACTURING BHD
5081,ESTHETICS INTERNATIONAL GROUP BERHAD
6815,EUPE CORPORATION BERHAD
7208,EURO HOLDINGS BERHAD
7094,EUROSPAN HOLDINGS BERHAD
5101,EVERGREEN FIBREBOARD BERHAD
5205,EVERSENDAI CORPORATION BERHAD
7249,EWEIN BERHAD
0065,EXCEL FORCE MSC BERHAD
2984,FACB INDUSTRIES INCORPORATED BERHAD
7047,FAJARBARU BUILDER GROUP BHD
5029,FAR EAST HOLDINGS BERHAD
6041,FARLIM GROUP (MALAYSIA) BHD
7229,FAVELLE FAVCO BERHAD
2755,FCW HOLDINGS BERHAD
8605,FEDERAL INTERNATIONAL HOLDINGS BERHAD
5222,FGV HOLDINGS BERHAD
6939,FIAMMA HOLDINGS BERHAD
0149,FIBON BERHAD
3107,FIMA CORPORATION BERHAD
9318,FITTERS DIVERSIFIED BERHAD
5197,FOCUS LUMBER BERHAD
