code,category,year_end,net_profit,num_share,price,name,ROI
7251,Energy,31/12/17,-216697,825587,0.29,BARAKAH OFFSHORE PETROLEUM BERHAD,-90.51
1899,Plantations,30/09/18,465476,401232,17.0,BATU KAWAN BERHAD,6.82
6602,Property,30/06/18,31367,400360,0.375,BCB BERHAD,20.89
5190,Construction,30/06/18,-177,799308,0.255,BENALEC HOLDINGS BERHAD,-0.09
3239,Property,30/06/18,-32616,2558270,0.38,BERJAYA ASSETS BERHAD,-3.36
3395,Industrial Products,30/04/18,-377073,5623418,0.29,BERJAYA CORPORATION BERHAD,-23.12
5196,Consumer,30/04/18,1141,376814,1.72,BERJAYA FOOD BERHAD,0.18
4219,Consumer,30/04/18,-189525,4989394,0.32,BERJAYA LAND BERHAD,-11.87
6025,Telco&Media,30/04/18,-12500,235085,0.21,BERJAYA MEDIA BERHAD,-25.32
1562,Consumer,30/04/18,230454,1347210,2.1,BERJAYA SPORTS TOTO BERHAD,8.15
5248,Consumer,30/04/18,140067,1154623,2.22,BERMAZ AUTO BERHAD,5.46
9814,Property,31/12/18,-3895,206756,0.26,BERTAM ALLIANCE BERHAD,-7.25
5258,Finance,31/12/18,682055,1689928,3.56,BIMB HOLDINGS BERHAD,11.34
6173,Property,31/12/18,-42196,303854,0.31,BINA DARULAMAN BERHAD,-44.8
5932,Construction,31/12/18,520,330167,0.21,BINA PURI HOLDINGS BHD,0.75
6998,Industrial Products,31/03/18,4929,287594,0.135,BINTAI KINDEN CORPORATION BERHAD,12.7
5032,Transportation&Logistics,31/12/18,142044,460000,4.5,BINTULU PORT HOLDINGS BERHAD,6.86
7243,Consumer,31/12/18,-11924,795362,0.035,BIO OSMO BERHAD,-42.83
5069,Plantations,31/12/18,-45796,93500,7.54,BLD PLANTATION BHD.,-6.5
0168,Industrial Products,31/03/18,20575,516000,0.67,BOILERMECH HOLDINGS BERHAD,5.95
9288,Consumer,30/06/18,19785,805651,0.42,BONIA CORPORATION BERHAD,5.85
7036,Industrial Products,30/06/18,5314,5211638,0.07,BORNEO OIL BERHAD,1.46
8133,Transportation&Logistics,31/12/18,-108326,248458,1.31,BOUSTEAD HEAVY INDUSTRIES CORPORATION BHD,-33.28
